tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan,Rider age,Trip length (minutes),Route name
228,7/29/2016 12:42:16,7/29/2016 12:46:05,280,E 10 St & 5 Ave,40.73331967,-73.99510132,383,Greenwich Ave & Charles St,40.735238,-74.000271,22410,Subscriber,1943,male,,76,3.8,E 10 St & 5 Ave to Greenwich Ave & Charles St
373,7/21/2015 17:07:23,7/21/2015 17:13:36,285,Broadway & E 14 St,40.73454567,-73.99074142,375,Mercer St & Bleecker St,40.72679454,-73.99695094,21586,Subscriber,1941,male,,78,6.21666666666667,Broadway & E 14 St to Mercer St & Bleecker St
933,3/23/2016 11:43:08,3/23/2016 11:58:42,276,Duane St & Greenwich St,40.71748752,-74.0104554,297,E 15 St & 3 Ave,40.734232,-73.986923,19820,Subscriber,1952,male,,67,15.55,Duane St & Greenwich St to E 15 St & 3 Ave
335,5/3/2018 16:56:27,5/3/2018 17:02:03,479,9 Ave & W 45 St,40.76019252,-73.9912551,529,W 42 St & 8 Ave,40.7575699,-73.99098507,14685,Subscriber,1950,female,,69,5.58333333333333,9 Ave & W 45 St to W 42 St & 8 Ave
1827,8/14/2017 11:25:12,8/14/2017 11:55:39,3282,5 Ave & E 88 St,40.78307,-73.95939,485,W 37 St & 5 Ave,40.75038009,-73.98338988,28661,Customer,1999,male,,20,30.45,5 Ave & E 88 St to W 37 St & 5 Ave
563,5/17/2014 13:56:20,5/17/2014 14:05:43,457,Broadway & W 58 St,40.76695317,-73.98169333,423,W 54 St & 9 Ave,40.76584941,-73.98690506,20876,Subscriber,1997,male,,22,9.38333333333333,Broadway & W 58 St to W 54 St & 9 Ave
480,11/25/2015 8:40:54,11/25/2015 8:48:55,358,Christopher St & Greenwich St,40.73291553,-74.00711384,79,Franklin St & W Broadway,40.71911552,-74.00666661,15170,Subscriber,1950,male,,69,8,Christopher St & Greenwich St to Franklin St & W Broadway
231,6/16/2017 21:26:34,6/16/2017 21:30:25,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3447,E 71 St & 1 Ave,40.7670343230987,-73.9562273025513,16457,Subscriber,1999,male,,20,3.85,1 Ave & E 78 St to E 71 St & 1 Ave
909,6/23/2017 12:04:09,6/23/2017 12:19:18,320,Leonard St & Church St,40.717571,-74.005549,432,E 7 St & Avenue A,40.72621788,-73.98379855,28165,Subscriber,1951,male,,68,15.15,Leonard St & Church St to E 7 St & Avenue A
1019,8/31/2016 17:37:42,8/31/2016 17:54:41,315,South St & Gouverneur Ln,40.70355377,-74.00670227,511,E 14 St & Avenue B,40.72938685,-73.97772429,14615,Subscriber,1900,male,,119,16.9833333333333,South St & Gouverneur Ln to E 14 St & Avenue B
425,12/7/2015 13:45:02,12/7/2015 13:52:07,472,E 32 St & Park Ave,40.7457121,-73.98194829,440,E 45 St & 3 Ave,40.75255434,-73.97282625,16735,Subscriber,1951,male,,68,7.08333333333333,E 32 St & Park Ave to E 45 St & 3 Ave
352,9/22/2015 11:58:49,9/22/2015 12:04:41,2003,1 Ave & E 18 St,40.7338121919663,-73.9805442094803,483,E 12 St & 3 Ave,40.73223272,-73.98889957,20652,Subscriber,1996,male,,23,5.86666666666667,1 Ave & E 18 St to E 12 St & 3 Ave
1091,10/11/2017 17:36:21,10/11/2017 17:54:32,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,312,Allen St & Stanton St,40.722055,-73.989111,20718,Subscriber,1997,female,,22,18.1833333333333,E 48 St & 3 Ave to Allen St & Stanton St
833,5/14/2015 23:41:28,5/14/2015 23:55:22,297,E 15 St & 3 Ave,40.734232,-73.986923,326,E 11 St & 1 Ave,40.72953837,-73.98426726,16554,Subscriber,1950,male,,69,13.8833333333333,E 15 St & 3 Ave to E 11 St & 1 Ave
233,12/15/2014 17:17:00,12/15/2014 17:20:53,217,Old Fulton St,40.70277159,-73.99383605,430,York St & Jay St,40.7014851,-73.98656928,19776,Subscriber,1952,male,,67,3.88333333333333,Old Fulton St to York St & Jay St
1704,1/6/2015 7:47:00,1/6/2015 8:15:00,521,8 Ave & W 31 St,40.75044999,-73.99481051,417,Barclay St & Church St,40.71291224,-74.01020234,21269,Subscriber,1950,male,,69,28.4,8 Ave & W 31 St to Barclay St & Church St
123,7/28/2016 16:48:56,7/28/2016 16:50:59,536,1 Ave & E 30 St,40.74144387,-73.97536082,527,E 33 St & 2 Ave,40.744023,-73.976056,16538,Subscriber,1998,male,,21,2.05,1 Ave & E 30 St to E 33 St & 2 Ave
247,11/25/2014 20:39:35,11/25/2014 20:43:42,2008,Little West St & 1 Pl,40.70569254,-74.01677685,3002,South End Ave & Liberty St,40.711512,-74.015756,14959,Subscriber,1944,male,,75,4.11666666666667,Little West St & 1 Pl to South End Ave & Liberty St
2237,9/2/2017 8:48:28,9/2/2017 9:25:45,3137,5 Ave & E 73 St,40.77282817,-73.96685276,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17797,Subscriber,1998,female,,21,37.2833333333333,5 Ave & E 73 St to Grand Army Plaza & Central Park S
195,5/5/2014 18:50:32,5/5/2014 18:53:47,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,254,W 11 St & 6 Ave,40.73532427,-73.99800419,21645,Subscriber,1946,male,,73,3.25,W 4 St & 7 Ave S to W 11 St & 6 Ave
245,11/16/2017 0:18:57,11/16/2017 0:23:03,471,Grand St & Havemeyer St,40.71286844,-73.95698119,3077,Stagg St & Union Ave,40.70877084,-73.95095259,19531,Subscriber,1950,male,,69,4.08333333333333,Grand St & Havemeyer St to Stagg St & Union Ave
400,7/13/2016 16:35:41,7/13/2016 16:42:21,2003,1 Ave & E 18 St,40.7338121919663,-73.9805442094803,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,17407,Subscriber,1997,male,,22,6.66666666666667,1 Ave & E 18 St to Shevchenko Pl & E 7 St
623,7/20/2015 7:35:52,7/20/2015 7:46:16,455,1 Ave & E 44 St,40.75001986,-73.96905301,493,W 45 St & 6 Ave,40.7568001,-73.98291153,22442,Subscriber,1885,unknown,,134,10.3833333333333,1 Ave & E 44 St to W 45 St & 6 Ave
1608,3/30/2018 11:31:01,3/30/2018 11:57:50,386,Centre St & Worth St,40.71494807,-74.00234482,3440,Fulton St & Adams St,40.6924182925785,-73.989494740963,30524,Subscriber,1996,male,,23,26.8,Centre St & Worth St to Fulton St & Adams St
871,10/23/2013 17:59:35,10/23/2013 18:14:06,457,Broadway & W 58 St,40.76695317,-73.98169333,524,W 43 St & 6 Ave,40.75527307,-73.98316936,17840,Subscriber,1951,male,,68,14.5166666666667,Broadway & W 58 St to W 43 St & 6 Ave
713,1/8/2016 8:25:41,1/8/2016 8:37:34,500,Broadway & W 51 St,40.76228826,-73.98336183,512,W 29 St & 9 Ave,40.7500727,-73.99839279,17715,Subscriber,1949,male,,70,11.8833333333333,Broadway & W 51 St to W 29 St & 9 Ave
1344,5/29/2018 23:35:36,5/29/2018 23:58:00,3232,Bond St & Fulton St,40.6896218879033,-73.9830426871777,146,Hudson St & Reade St,40.71625008,-74.0091059,31656,Customer,1996,male,,23,22.4,Bond St & Fulton St to Hudson St & Reade St
1471,10/28/2017 9:56:13,10/28/2017 10:20:45,3423,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112,3409,Bergen St & Smith St,40.6867443,-73.99063168,15595,Subscriber,1944,unknown,,75,24.5166666666667,West Drive & Prospect Park West to Bergen St & Smith St
676,12/24/2017 11:57:38,12/24/2017 12:08:55,519,Pershing Square North,40.751873,-73.977706,3142,1 Ave & E 62 St,40.7612274,-73.96094022,29781,Subscriber,1952,male,,67,11.2666666666667,Pershing Square North to 1 Ave & E 62 St
960,10/31/2015 12:43:09,10/31/2015 12:59:09,3177,W 84 St & Broadway,40.7867947,-73.977112,450,W 49 St & 8 Ave,40.76227205,-73.98788205,22554,Subscriber,1947,male,,72,16,W 84 St & Broadway to W 49 St & 8 Ave
847,5/2/2018 20:26:58,5/2/2018 20:41:06,426,West St & Chambers St,40.71754834,-74.01322069,335,Washington Pl & Broadway,40.72903917,-73.99404649,20085,Subscriber,1945,male,,74,14.1166666666667,West St & Chambers St to Washington Pl & Broadway
1994,8/30/2016 13:34:33,8/30/2016 14:07:48,285,Broadway & E 14 St,40.73454567,-73.99074142,224,Spruce St & Nassau St,40.71146364,-74.00552427,22860,Subscriber,1996,male,,23,33.2333333333333,Broadway & E 14 St to Spruce St & Nassau St
64,9/27/2017 15:23:19,9/27/2017 15:24:23,453,W 22 St & 8 Ave,40.74475148,-73.99915362,453,W 22 St & 8 Ave,40.74475148,-73.99915362,21491,Subscriber,1940,male,,79,1.06666666666667,W 22 St & 8 Ave to W 22 St & 8 Ave
851,7/27/2013 20:38:46,7/27/2013 20:52:57,439,E 4 St & 2 Ave,40.7262807,-73.98978041,307,Canal St & Rutgers St,40.71427487,-73.98990025,15249,Subscriber,1949,female,,70,14.1833333333333,E 4 St & 2 Ave to Canal St & Rutgers St
274,8/5/2015 18:07:23,8/5/2015 18:11:57,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,345,W 13 St & 6 Ave,40.73649403,-73.99704374,22330,Subscriber,1997,male,,22,4.56666666666667,W 4 St & 7 Ave S to W 13 St & 6 Ave
407,11/25/2015 8:08:00,11/25/2015 8:14:47,3230,Penn Station Valet,40.7512835969623,-73.9969244599342,463,9 Ave & W 16 St,40.74206539,-74.00443172,20599,Subscriber,1951,male,,68,6.78333333333333,Penn Station Valet to 9 Ave & W 16 St
357,7/12/2013 12:07:34,7/12/2013 12:13:31,519,Pershing Square N,40.75188406,-73.97770164,524,W 43 St & 6 Ave,40.75527307,-73.98316936,15165,Subscriber,1949,male,,70,5.95,Pershing Square N to W 43 St & 6 Ave
1034,9/20/2016 21:40:55,9/20/2016 21:58:09,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,526,E 33 St & 5 Ave,40.74765947,-73.98490707,25698,Subscriber,1996,male,,23,17.2333333333333,Lexington Ave & E 24 St to E 33 St & 5 Ave
1865,6/14/2017 22:20:34,6/14/2017 22:51:40,390,Duffield St & Willoughby St,40.69221589,-73.9842844,363,West Thames St,40.70834698,-74.01713445,26753,Subscriber,1949,female,,70,31.0833333333333,Duffield St & Willoughby St to West Thames St
2803,10/21/2017 14:48:55,10/21/2017 15:35:38,3555,28 St & 41 Ave,40.751047,-73.93797,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,17321,Subscriber,1998,female,,21,46.7166666666667,28 St & 41 Ave to Ditmars Blvd & 19 St
493,10/9/2015 8:39:12,10/9/2015 8:47:25,262,Washington Park,40.6917823,-73.9737299,390,Duffield St & Willoughby St,40.69221589,-73.9842844,18406,Subscriber,1948,male,,71,8.21666666666667,Washington Park to Duffield St & Willoughby St
457,2/6/2018 6:56:20,2/6/2018 7:03:57,387,Centre St & Chambers St,40.71273266,-74.0046073,331,Pike St & Monroe St,40.71173107,-73.99193043,20204,Subscriber,1996,female,,23,7.61666666666667,Centre St & Chambers St to Pike St & Monroe St
210,12/18/2017 8:13:20,12/18/2017 8:16:51,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,476,E 31 St & 3 Ave,40.74394314,-73.97966069,15414,Subscriber,1948,male,,71,3.5,Lexington Ave & E 24 St to E 31 St & 3 Ave
491,1/22/2018 12:10:27,1/22/2018 12:18:39,3435,Grand St & Elizabeth St,40.718822,-73.99596,502,Henry St & Grand St,40.714215,-73.981346,25882,Subscriber,2000,female,,19,8.18333333333333,Grand St & Elizabeth St to Henry St & Grand St
468,9/1/2017 7:17:09,9/1/2017 7:24:57,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,530,11 Ave & W 59 St,40.771522,-73.990541,19644,Subscriber,1952,female,,67,7.8,Riverside Dr & W 82 St to 11 Ave & W 59 St
210,7/22/2015 14:27:43,7/22/2015 14:31:14,348,W Broadway & Spring St,40.72490985,-74.00154702,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,20793,Subscriber,1945,female,,74,3.5,W Broadway & Spring St to LaGuardia Pl & W 3 St
1029,6/11/2015 22:05:00,6/11/2015 22:22:00,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,532,S 5 Pl & S 4 St,40.710451,-73.960876,20542,Subscriber,1996,male,,23,17.15,LaGuardia Pl & W 3 St to S 5 Pl & S 4 St
2431,4/29/2015 17:57:26,4/29/2015 18:37:57,422,W 59 St & 10 Ave,40.770513,-73.988038,229,Great Jones St,40.72743423,-73.99379025,20712,Subscriber,1997,male,,22,40.5166666666667,W 59 St & 10 Ave to Great Jones St
105,8/21/2017 11:39:46,8/21/2017 11:41:32,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,16746,Subscriber,1997,male,,22,1.75,Metropolitan Ave & Bedford Ave to S 3 St & Bedford Ave
993,6/8/2017 8:04:09,6/8/2017 8:20:42,326,E 11 St & 1 Ave,40.72953837,-73.98426726,3258,W 27 St & 10 Ave,40.7501815632568,-74.0021842718124,25993,Subscriber,1996,male,,23,16.55,E 11 St & 1 Ave to W 27 St & 10 Ave
2266,8/24/2016 22:54:31,8/24/2016 23:32:18,382,University Pl & E 14 St,40.73492695,-73.99200509,447,8 Ave & W 52 St,40.76370739,-73.9851615,21240,Subscriber,1996,male,,23,37.7666666666667,University Pl & E 14 St to 8 Ave & W 52 St
314,10/25/2013 16:26:15,10/25/2013 16:31:29,334,W 20 St & 7 Ave,40.74238787,-73.99726235,434,9 Ave & W 18 St,40.74317449,-74.00366443,19737,Subscriber,1945,male,,74,5.23333333333333,W 20 St & 7 Ave to 9 Ave & W 18 St
679,2/8/2015 15:36:00,2/8/2015 15:47:00,147,Greenwich St & Warren St,40.71542197,-74.01121978,3002,South End Ave & Liberty St,40.711512,-74.015756,14694,Subscriber,1943,male,,76,11.3166666666667,Greenwich St & Warren St to South End Ave & Liberty St
